English,Arabic
the,ال
in,في
and,و
a,أ
to,ل
was,كان
is,يكون
on,على
for,ل
as,مثل
with,مع
by,بواسطة
he,هو
that,الذي - التي
at,في
from,من
his,له
it,هو - هي
an,و
which,أيّ
are,نكون
also,أيضًا
this,هذا
had,ملك
be,يكون
first,أولاً
or,أو
has,لديه
their,هُم
after,بعد
its,إنه
she,هي
new,جديد
one,واحد
her,ها
who,من
but,لكن
not,لا
have,يملك
two,اثنين
been,كان
other,آخر
during,خلال
when,متى
into,داخل
all,الجميع
time,وقت
may,يمكن
more,أكثر
school,مدرسة
years,سنين
would,كان
over,زيادة
later,لاحقاً
between,بين
where,أين
only,فقط
national,وطني
season,موسم
most,معظم
world,عالم
state,ولاية
up,أعلى
city,مدينة
some,بعض
university,جامعة
while,بينما
made,صنع
about,عن
then,ثم
three,ثلاثة
united,متحد
him,له
such,هذه
out,خارج
team,فريق
film,فيلم
used,مستخدم
under,تحت
year,سنة
became,أصبح
known,معروف
born,وُلِدّ
part,جزء
can,يستطيع
second,ثانية
no,لا
many,كثير
states,تنص على
than,من
these,هؤلاء
including,مشتمل
american,أمريكي
being,كون
before,قبل
south,جنوب
both,كلاهما
early,مبكر
through,خلال
i,أنا
against,ضد
war,حرب
history,تاريخ
life,حياة
until,حتى
following,التالي
career,حياة مهنية
since,منذ
people,الناس
series,مسلسل
however,لكن
well,حسنًا
work,عمل
de,دي
them,هم
north,شمال
played,لعب
group,مجموعة
area,منطقة
name,اسم
district,يصرف
album,الألبوم
music,موسيقى
league,الدوري
released,مطلق سراحه
number,رقم
several,عديد
county,مقاطعة
high,عالي
won,فاز
s,س
company,شركة
march,يمشي
government,حكومة
called,مُسَمًّى
house,منزل
four,أربعة
june,يونيو
september,سبتمبر
january,يناير
club,النادي
july,يوليو
international,دولي
game,لعبة
october,اكتوبر
august,أغسطس
will,سوف
same,نفس
each,كل
began,بدأ
found,وجد
station,محطة
november,شهر نوفمبر
john,جون
west,الغرب
december,ديسمبر
football,كرة القدم
member,عضو
college,كلية
located,تقع
general,عام
end,نهاية
home,بيت
public,عام
use,يستخدم
place,مكان
so,لذا
held,محتجز
church,كنيسة
former,سابق
amp,أمبير
due,حق
song,أغنية
population,سكان
named,اسم الشيئ
took,أخذ
town,بلدة
york,يورك
february,شهر فبراير
party,حزب
served,خدم
day,يوم
around,حول
if,لو
system,نظام
river,نهر
british,بريطاني
line,خط
east,شرق
local,محلي
age,عمر
because,لأن
received,تلقى
did,فعل
final,أخير
games,ألعاب
service,خدمة
could,استطاع
any,أي
best,أفضل
based,قائم على
another,آخر
century,قرن
back,خلف
within,داخل
members,أعضاء
building,مبنى
species,صِنف
built,مبني
death,موت
village,قرية
like,يحب
said,قال
major,رئيسي
died,مات
published,نشرت
show,يعرض
include,يشمل
main,رئيسي
third,ثالث
although,بالرغم من
according,حسب
included,وشملت
order,طلب
division,قسم
road,طريق
u,ش
single,أعزب
education,تعليم
small,صغير
park,حديقة
last,آخر
set,تعيين
band,فرقة
c,ج
large,كبير
long,طويل
army,جيش
those,أولئك
own,ملك
book,كتاب
law,قانون
among,ضمن
still,ما زال
moved,انتقل
led,قاد
